title,price,location,bedrooms,bathrooms,Squared-Feet,category,property_type,agent_name,agent_contact,agent_email
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Branded 2 Bedroom by Marriott Residences | Ready to Move,290000,"Dubai, Al Barsha South Fourth (JVC), jumeirah village circle",2,3,1750,Apartment,Rent,Khalid Khan,+971509026757,marketing@apilproperties.com
Branded 1 Bedroom by Marriott Residences | Ready to Move,160000,"Dubai, Al Barsha South Fourth (JVC), jumeirah village circle",1,2,1151,Apartment,Rent,Khalid Khan,+971509026757,marketing@apilproperties.com
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,,"Dubai, Al Barshaa South Third, Arjan",1,2,,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Divine Living,796000,"Dubai, Al Barshaa South Third, Arjan",1,2,739,Apartment,Sale,N/A,N/A,N/A
Q Gardens Boutique Residences,1096000,"Dubai, Al Barshaa South Third, Arjan",1,2,850,Apartment,Sale,N/A,N/A,N/A
Luxury Villa in Palm Jumeirah-1,12500000,"Dubai, Al khairan first, Dubai Creek Harbour",5,2,4500.25,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Adhara Star | 3 Bedroom Apartment,2100000,"Dubai, Al Barshaa South Third, Arjan",3,4,1520,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Adhara Star | 2 Bedroom Apartment,1600000,"Dubai, Al Barshaa South Third, Arjan",2,3,1133,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Adhara Star | 1 br Apartment | arjan,1200000,"Dubai, Al Barshaa South Third, Arjan",1,2,779,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Gardenia Living |  2 br Apartment  | arjan,1200000,"Dubai, Al Barshaa South Third, Arjan",2,3,1051,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Gardenia Living |  1 br Apartment  | arjan,860000,"Dubai, Al Barshaa South Third, Arjan",1,2,740,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Supreme Residence |  2 br Apartment  | arjan,1500000,"Dubai, Al Barshaa South Third, Arjan",2,3,1127,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Supreme Residence |  1 br Apartment  | arjan,1100000,"Dubai, Al Barshaa South Third, Arjan",1,2,730,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Supreme Residence |  studio Apartment  | arjan,626000,"Dubai, Al Barshaa South Third, Arjan",Studio,2,430,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Signature | 3 br Apartment  | arjan,2000000,"Dubai, Al Barshaa South Third, Arjan",3,4,1996,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Signature | 2 BR Apartment,1400000,"Dubai, Al Barshaa South Third, Arjan",2,3,1196,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Signature | 1 BR Apartment,977000,"Dubai, Al Barshaa South Third, Arjan",1,2,1014,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Galleria | 3 BR Apartment,2300000,"Dubai, Al Barshaa South Third, Arjan",3,4,2099,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Galleria | 2 BR Apartment,1400000,"Dubai, Al Barshaa South Third, Arjan",2,3,1193,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Galleria | 1 BR Apartment,879000,"Dubai, Al Barshaa South Third, Arjan",1,2,789,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The W Residences | 3 BR Apartment,4650000,"Dubai, Burj Khalifa, downtown",3,4,1460,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The W Residences | 2 BR Apartment,3200000,"Dubai, Burj Khalifa, downtown",2,3,1078,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The W Residences | 1 BR Apartment,2150000,"Dubai, Burj Khalifa, downtown",1,2,704,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 5 br penthouses,18900000,"Dubai, Burj Khalifa, downtown",5,6,5151,Penthouse,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 4 br penthouses,25000000,"Dubai, Burj Khalifa, downtown",4,5,5198,Penthouse,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 4 br Apartment,12800000,"Dubai, Burj Khalifa, downtown",4,5,3124,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 3 br Apartment,6300000,"Dubai, Burj Khalifa, downtown",3,4,2049,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 2 br Apartment,5100000,"Dubai, Burj Khalifa, downtown",2,3,1458,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Imperial Avenue | 1 br Apartment,2500000,"Dubai, Burj Khalifa, downtown",1,2,859,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
25h Heimat | 3 BR Apartment,6300000,"Dubai, Burj Khalifa, downtown",3,4,1861,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
